Company ID,Companies,First Financing Date,Last Known Valuation Date,Last Known Valuation,First Financing Valuation,First Financing Size,Emerging Spaces,Primary Industry Code,Unicorn Status
157413-34,Houwzer,2017.4136986301369,2022.1041095890412,63.5,7.0,2.0,0,Real Estate Services (B2C),0
118129-60,Hovr,2014.704109589041,2022.5808219178082,12.6,0.88,0.28,0,Media and Information Services (B2B),0
123122-44,HST (Business/Productivity Software),2013.386301369863,2022.6109589041096,51.0,5.79,2.17,0,Business/Productivity Software,0
62828-65,HUBB Filters,2012.4931506849316,2022.3616438356164,40.0,8.7,3.7,0,Industrial Supplies and Parts,0
60369-13,Huma,2012.813698630137,2022.2219178082191,579.37,0.71,0.05,0,Other Healthcare Technology Systems,0
228272-68,Humu,2017.331506849315,2022.027397260274,535.0,55.53,10.53,0,Business/Productivity Software,0
60713-02,Hylete,2013.1808219178083,2022.4383561643835,27.4,1.33,0.33,0,Clothing,0
300640-60,Hyperia,2017.4301369863015,2023.2575342465752,13.15,0.88,0.4,0,Business/Productivity Software,0
170280-01,HyperTrack,2016.9205479452055,2022.6246575342466,86.29,6.5,1.5,0,Software Development Applications,0
101859-04,HYPR,2017.6657534246576,2022.8931506849315,170.0,13.17,3.35,Passwordless Authentication,Network Management Software,0
187665-67,Hyr Medical,2017.0,2022.3917808219178,5.75,0.92,0.09,0,Enterprise Systems (Healthcare),0
149990-68,Icelandic Provisions,2015.9698630136986,2023.33698630137,147.83,21.2,11.0,0,Food Products,0
61064-29,Iceotope,2013.1616438356164,2022.4136986301369,124.42,9.03,3.73,0,Electronic Equipment and Instruments,0
52576-66,ID.me,2012.3534246575343,2023.2739726027398,1632.0,14.58,3.58,0,Government,1
166027-60,Immune-Onc Therapeutics,2016.668493150685,2023.0109589041097,255.0,24.0,7.0,0,Drug Discovery,0
483348-07,ImmuneBridge,2018.3753424657534,2023.013698630137,25.0,16.55,8.05,0,Biotechnology,0
154798-48,ImmunoMet,2015.5808219178082,2022.7972602739726,105.5,1.35,1.0,0,Drug Discovery,0
118786-87,Immuta,2015.5369863013698,2022.4328767123288,1000.0,3.25,1.25,0,Business/Productivity Software,1
167143-96,Impact Analytics,2016.786301369863,2022.8164383561643,85.55,1.75,0.75,0,Business/Productivity Software,0
126130-87,Imply,2015.7972602739726,2022.282191780822,1115.0,10.33,2.0,0,Database Software,1
64908-73,IncludeHealth,2013.8301369863013,2022.8301369863013,30.0,3.3,1.1,0,Other Healthcare Technology Systems,0
178226-11,Incredible Health,2016.9150684931508,2022.6246575342466,1650.0,1.71,0.34,0,Human Capital Services,1
153133-93,InCrowd (Business/Productivity Software),2016.0876712328768,2022.5671232876712,21.69,4.95,2.37,0,Business/Productivity Software,0
182588-41,InfanDx,2016.9698630136986,2022.2,23.69,31.07,2.12,0,Diagnostic Equipment,0
