Company ID,Companies,First Financing Date,Last Known Valuation Date,Last Known Valuation,First Financing Valuation,First Financing Size,Emerging Spaces,Primary Industry Code,Unicorn Status
149131-00,Next Big Idea Club,2015.9150684931508,2022.8027397260273,10.98,8.51,2.51,0,Publishing,0
154079-29,Nexus (Entertainment Software),2015.9972602739726,2022.8712328767124,24.07,1.25,0.15,0,Entertainment Software,0
264903-49,Nexxiot,2015.66301369863,2022.4301369863015,373.06,5.07,0.93,0,Electronic Equipment and Instruments,0
170226-01,nference,2016.0246575342467,2022.841095890411,863.74,9.0,3.0,0,Enterprise Systems (Healthcare),0
229624-84,Nice Healthcare,2018.3287671232877,2022.186301369863,150.0,1.3,1.1,0,Clinics/Outpatient Services,0
229035-52,NICKLpass,2018.2794520547945,2022.5698630136985,21.0,4.72,1.22,0,Business/Productivity Software,0
180329-50,Nimbus Engineering,2018.0602739726028,2022.2356164383561,50.34,11.5,0.28,0,Electrical Equipment,0
227008-36,Nivoda,2018.2191780821918,2022.8219178082193,41.22,2.93,0.52,0,Media and Information Services (B2B),0
121574-17,Nixplay,2010.5753424657535,2023.2246575342465,39.38,1.83,0.28,0,Electronics (B2C),0
155471-59,Noodle.ai,2016.2,2022.331506849315,255.0,26.0,16.0,0,Business/Productivity Software,0
161707-78,Notable Systems,2015.66301369863,2022.5616438356165,10.5,1.67,0.67,0,Enterprise Systems (Healthcare),0
124659-01,Noveon,2015.7287671232878,2023.3534246575343,300.0,49.14,25.0,0,Iron and Steel Mining,0
121712-41,Novoloop,2015.3424657534247,2022.2657534246575,61.7,1.25,0.1,0,Plastic Containers and Packaging,0
182150-56,Novolyze,2015.4246575342465,2022.7972602739726,9.99,5.22,2.01,0,IT Consulting and Outsourcing,0
110529-91,Nuclera,2014.3287671232877,2022.509589041096,154.5,4.19,0.84,0,Biotechnology,0
234939-43,Nutcracker Therapeutics,2018.372602739726,2022.1972602739727,967.0,5.2,4.0,0,Biotechnology,0
267553-81,Nuvocargo,2018.0,2022.495890410959,180.0,1.71,0.12,0,Logistics,0
226886-59,Observe.AI,2018.2109589041097,2022.2767123287672,825.0,1.71,0.12,Generative AI,Business/Productivity Software,0
181981-00,Obsidian (Network Management Software),2017.4328767123288,2022.282191780822,500.0,27.0,9.5,0,Network Management Software,0
98785-72,Ocean Aero,2014.495890410959,2022.7452054794521,80.0,8.68,2.18,Ocean Data Collection,Marine,0
178460-74,Ocrolus,2016.1424657534246,2023.123287671233,510.46,17.45,3.3,0,Financial Software,0
98313-58,OhMD,2014.7232876712328,2022.1424657534246,12.62,0.33,0.02,0,Other Healthcare Technology Systems,0
93764-80,Omaze,2012.558904109589,2022.0,935.0,4.47,1.0,0,Financial Software,0
168766-93,Ombre,2016.9342465753425,2022.123287671233,29.81,1.35,0.45,0,Diagnostic Equipment,0
56242-81,Omio,2014.0602739726028,2022.3616438356164,928.41,8.5,4.0,0,Other Restaurants Hotels and Leisure,0
172321-84,Omnidian,2017.8712328767124,2022.7232876712328,140.0,12.0,5.4,0,Business/Productivity Software,0
170314-75,OmniTier,2015.6493150684933,2022.5698630136985,53.94,28.0,3.0,0,Other Healthcare Technology Systems,0
228289-33,OnePointOne,2017.9671232876713,2022.9150684931508,205.5,7.0,0.5,Indoor Farming,Cultivation,0
87107-59,OnePulse,2015.8191780821917,2022.2438356164384,34.92,6.91,1.75,0,Business/Productivity Software,0
159896-98,OneSkin,2016.2,2022.8164383561643,47.41,0.63,0.2,0,Personal Products,0
125555-77,Onkos Surgical,2015.7616438356165,2022.454794520548,122.5,17.2,15.3,0,Surgical Devices,0
223051-51,Onymos,2017.9424657534246,2022.4493150684932,55.0,6.0,1.15,0,Software Development Applications,0
51493-24,OpenGamma,2009.5808219178082,2022.0849315068492,179.0,32.16,2.16,0,Financial Software,0
154270-90,Opkey,2015.9506849315069,2022.1616438356164,30.0,3.5,1.0,0,Business/Productivity Software,0
96512-86,Optalysys,2014.2328767123288,2022.0931506849315,59.33,1.85,0.69,0,Application Specific Semiconductors,0
399212-29,Ori Biotech,2016.9123287671232,2022.0164383561644,228.81,0.81,0.19,0,Other Healthcare Technology Systems,0
90809-02,Oro,2016.1698630136987,2023.0493150684931,65.0,40.0,12.0,0,Business/Productivity Software,0
433073-53,Orpheus Cyber,2017.282191780822,2022.7068493150684,13.85,3.99,0.19,0,Network Management Software,0
56436-22,Oscilla Power,2011.8383561643836,2022.6602739726027,20.63,19.66,1.66,Renewable Ocean Energy,Alternative Energy Equipment,0
114849-37,Otomo,2016.9972602739726,2022.041095890411,10.8,10.22,0.22,0,Financial Software,0
110783-26,Oura,2015.317808219178,2022.3205479452056,2550.0,5.54,2.3,Sleep Tech,Electronics (B2C),1
65025-19,OvationCXM,2014.8876712328768,2022.495890410959,100.0,9.44,3.04,0,Business/Productivity Software,0
169714-63,Overcast HQ,2016.9972602739726,2022.9945205479453,9.25,1.02,0.17,0,Multimedia and Design Software,0
157480-03,Overhaul,2017.9890410958903,2023.123287671233,373.43,20.13,5.13,0,Business/Productivity Software,0
170194-51,Overtime,2017.0849315068492,2022.5835616438355,600.0,7.5,2.5,0,Broadcasting Radio and Television,0
118990-00,Owl Labs,2015.4383561643835,2022.33698630137,200.0,10.2,1.3,0,Electronics (B2C),0
158966-38,Owlytics Healthcare,2016.717808219178,2022.7452054794521,28.0,4.85,1.66,0,Monitoring Equipment,0
58964-68,Paddle,2013.8109589041096,2022.3205479452056,1477.56,0.8,0.16,0,Financial Software,1
64017-28,Pager (Clinics/Outpatient Service),2014.3287671232877,2022.6657534246576,262.0,12.68,4.44,0,Clinics/Outpatient Services,0
221799-16,Paige,2018.0958904109589,2023.2027397260274,650.0,47.0,25.0,AI-powered Drug Discovery Generative AI,Decision/Risk Analysis,0
57982-60,Pairin,2013.4054794520548,2023.0849315068492,22.94,5.0,1.4,0,Human Capital Services,0
186795-64,Paladin Cyber,2017.0,2023.0794520547945,32.0,1.71,0.12,0,Network Management Software,0
509860-90,Paracrine Therapeutics,2017.2739726027398,2023.0164383561644,71.92,51.38,2.54,0,Drug Discovery,0
224404-66,Parcelly,2015.66301369863,2022.2383561643835,19.73,1.71,0.23,0,Logistics,0
166300-75,Particella,2016.4164383561645,2022.2465753424658,21.08,0.25,0.01,0,Drug Discovery,0
303873-85,Partnerslate,2017.66301369863,2022.8301369863013,12.0,1.0,0.1,0,Media and Information Services (B2B),0
187588-63,PartnerTap,2017.7561643835616,2023.2547945205479,50.3,3.1,0.9,0,Business/Productivity Software,0
170155-09,PassionFlix,2017.8383561643836,2022.6575342465753,43.41,20.75,4.75,0,Movies Music and Entertainment,0
57292-03,PathoQuest,2011.1890410958904,2023.2547945205479,23.0,2.42,2.75,0,Biotechnology,0
227334-97,Pattern (Biotechnology),2018.2493150684932,2023.3205479452056,90.0,4.75,3.75,0,Biotechnology,0
57987-28,Pax8,2012.0301369863014,2022.2739726027398,1700.0,5.0,0.52,0,Business/Productivity Software,1
443013-40,Paytia,2017.1616438356164,2022.3561643835617,10.26,0.75,0.12,0,Financial Software,0
267781-60,Paytient,2018.317808219178,2023.0246575342467,143.0,0.4,0.05,0,Financial Software,0
58422-97,Peaxy,2014.3287671232877,2023.0794520547945,67.1,27.6,15.6,0,Business/Productivity Software,0
61645-06,Pepperdata,2012.868493150685,2022.109589041096,57.12,8.18,2.05,0,Business/Productivity Software,0
135956-26,Petit Pot,2015.8931506849315,2022.0821917808219,21.5,2.7,0.2,0,Food Products,0
227187-64,Phantom AI,2017.827397260274,2023.1835616438357,196.84,22.26,5.26,0,Automotive,0
149081-05,Pheon Therapeutics,2015.7972602739726,2022.1972602739727,83.36,5.93,3.53,0,Drug Discovery,0
52562-80,Phizzle,2011.5671232876712,2023.2027397260274,78.43,7.0,3.0,0,Electronic Equipment and Instruments,0
51622-30,Phononic,2009.2438356164384,2022.7835616438356,607.0,2.58,2.08,0,Application Specific Semiconductors,0
60048-82,Phraxis,2012.972602739726,2022.372602739726,38.5,10.85,2.35,0,Therapeutic Devices,0
12041-56,Picarro,2002.4493150684932,2022.164383561644,116.35,54.32,22.0,0,Electronic Equipment and Instruments,0
169527-07,Picnic (Machinery (B2B)),2017.0109589041097,2022.8575342465754,58.79,5.5,1.5,Food Service Robots & Machines,Machinery (B2B),0
65842-57,PicnicHealth,2014.6301369863013,2022.2931506849316,410.0,1.71,0.12,0,Medical Records Systems,0
439529-23,Pine Park Health,2018.0,2022.0630136986301,171.9,1.71,0.12,0,Elder and Disabled Care,0
168506-56,Pique (Beverages),2016.6986301369864,2022.1616438356164,8.0,5.0,1.0,0,Beverages,0
109925-65,PittMoss,2015.1260273972603,2022.4301369863015,7.75,3.7,1.5,0,Other Agriculture,0
224537-68,Planetarians,2017.5397260273974,2023.1260273972603,32.0,2.0,0.12,0,Food Products,0
179124-13,PlanSight,2017.2,2023.1260273972603,20.87,1.5,0.25,0,Business/Productivity Software,0
161805-61,Plant Prefab,2016.2465753424658,2022.9205479452055,187.0,9.44,3.44,Modular Construction,Construction and Engineering,0
54473-86,Plastiq,2012.3479452054794,2022.5890410958905,480.0,4.62,2.35,0,Financial Software,0
223823-44,Platform Science,2017.9698630136986,2023.282191780822,800.0,19.65,4.06,0,Business/Productivity Software,0
120177-91,Platform.sh,2010.9123287671232,2022.4657534246576,349.38,3.72,0.99,0,Software Development Applications,0
65888-02,Platform9,2014.6109589041096,2022.4493150684932,245.08,15.87,4.5,0,Business/Productivity Software,0
60306-04,Playrcart,2013.868493150685,2022.5123287671233,17.88,2.13,0.28,0,Media and Information Services (B2B),0
163578-61,Plenty,2016.490410958904,2022.0657534246575,1425.0,49.6,26.0,Indoor Farming,Cultivation,1
226288-90,Pliops,2017.7479452054795,2022.6246575342466,653.52,18.18,10.0,0,Application Specific Semiconductors,0
183032-02,Plus One Robotics,2018.386301369863,2023.0438356164384,170.0,9.35,2.35,Warehouse Management Tech,Business/Productivity Software,0
110137-96,Point (Financial Services),2015.0520547945205,2022.3342465753424,565.0,12.0,3.0,0,Other Financial Services,0
227931-58,PolySign,2018.027397260274,2022.2082191780821,502.87,19.29,4.29,0,Financial Software,0
90649-81,Poplar (Real Estate Services (B2C)),2015.4219178082192,2022.841095890411,92.12,2.47,0.47,0,Real Estate Services (B2C),0
153882-46,Pops Diabetes Care,2017.0328767123287,2022.5671232876712,17.98,9.34,1.74,0,Monitoring Equipment,0
98048-62,Portal Instruments,2013.123287671233,2022.1890410958904,143.0,0.12,0.01,0,Other Devices and Supplies,0
185329-18,Portrait,2017.0,2022.3287671232877,108.6,65.0,15.0,0,Clinics/Outpatient Services,0
110133-10,Position Imaging,2015.2849315068493,2022.495890410959,60.0,10.0,2.5,0,Other Hardware,0
117660-16,PowerToFly,2014.495890410959,2022.7150684931507,99.0,3.5,1.0,0,Human Capital Services,0
339918-58,Precise Bio,2017.682191780822,2022.5424657534247,55.53,75.0,10.0,0,Biotechnology,0
181313-20,Prelim,2017.6383561643836,2022.2082191780821,18.0,1.71,0.12,0,Financial Software,0
54081-55,PreludeDx,2011.5671232876712,2022.123287671233,109.28,5.85,2.05,0,Diagnostic Equipment,0
265483-72,Premier Lacrosse League,2018.158904109589,2022.5506849315068,380.0,26.4,4.4,0,Leisure Facilities,0
183386-08,Prenda,2017.5205479452054,2022.849315068493,118.75,1.06,0.06,Income Share Agreements (ISA) Education,Educational and Training Services (B2C),0
59922-19,Prevedere,2015.4931506849316,2022.0164383561644,135.0,16.65,7.65,0,Business/Productivity Software,0
113754-16,Prevencio,2013.9945205479453,2022.2027397260274,31.38,10.0,2.0,0,Biotechnology,0
47662-48,Prieto Battery,2010.1835616438357,2023.1561643835616,22.0,2.9,0.9,0,Electrical Equipment,0
168354-37,Prime Lightworks,2016.0,2023.2767123287672,19.64,1.71,0.12,0,Electrical Equipment,0
224329-96,Prime Roots,2018.0246575342467,2022.964383561644,107.79,2.5,0.2,0,Food Products,0
119496-34,Primo Energy,2017.6849315068494,2022.1041095890412,25.05,4.5,0.05,0,Alternative Energy Equipment,0
118263-07,Productboard,2016.8,2022.0684931506848,1720.0,4.68,1.7,0,Business/Productivity Software,1
157751-47,Professional Fighters League,2017.013698630137,2022.3150684931506,500.0,40.0,25.0,0,Other Restaurants Hotels and Leisure,0
53390-17,Prognos Health,2011.8931506849315,2023.33698630137,32.0,21.73,7.73,0,Enterprise Systems (Healthcare),0
106754-14,Prompt.io,2014.9917808219177,2022.7232876712328,25.0,7.3,2.3,0,Business/Productivity Software,0
222367-78,Proof Technology,2017.8328767123287,2022.9534246575342,73.25,1.11,0.11,0,Business/Productivity Software,0
435276-55,Provar,2014.841095890411,2022.1123287671232,35.24,0.3,0.09,0,Software Development Applications,0
224495-47,Provisio Medical,2017.372602739726,2023.2575342465752,57.52,3.3,1.3,0,Decision/Risk Analysis,0
113130-28,Proxim Diagnostics,2010.8575342465754,2023.2164383561644,93.0,2.05,0.92,0,Diagnostic Equipment,0
233487-46,Pupil,2016.805479452055,2022.3424657534247,130.29,12.12,2.19,0,Multimedia and Design Software,0
53501-95,Pursuant Health,2009.2602739726028,2022.3890410958904,87.59,5.6,2.8,0,Other Healthcare Technology Systems,0
185192-38,Pyka,2017.6356164383562,2022.3150684931506,112.0,1.79,0.13,Autonomous Flight,Aerospace and Defense,0
167310-73,QiO Technologies,2015.454794520548,2022.9753424657533,30.0,6.82,3.88,Digital Twins,Business/Productivity Software,0
54346-60,Qnovo,2009.0,2022.027397260274,104.0,3.6,1.1,0,Business/Productivity Software,0
228945-34,Qritive,2018.0438356164384,2022.545205479452,28.25,0.7,0.06,0,Other Healthcare Technology Systems,0
186688-81,QT Medical,2015.5917808219178,2023.013698630137,38.0,3.12,1.12,0,Monitoring Equipment,0
226723-60,Quadric.io,2017.2356164383561,2022.9534246575342,131.0,6.25,2.25,0,Computers Parts and Peripherals,0
53488-09,Quantifind,2009.7835616438356,2023.1616438356164,145.0,2.75,0.75,0,Financial Software,0
222320-44,Quantstamp,2018.213698630137,2022.2465753424658,1100.0,1.71,0.12,0,Network Management Software,1
164274-58,Quiq,2016.6191780821919,2022.2164383561644,165.0,21.0,6.0,0,Communication Software,0
179852-05,Qwiet AI,2017.7753424657535,2022.3342465753424,113.0,22.2,9.3,0,Network Management Software,0
168708-43,Radar (Software Development Applications),2016.4328767123288,2022.1041095890412,365.0,2.5,0.5,Pandemic Travel,Software Development Applications,0
227627-29,Rael,2018.3671232876711,2022.2438356164384,295.0,14.03,2.81,0,Personal Products,0
227001-25,Rain Neuromorphics,2018.3753424657534,2022.0246575342467,115.0,14.5,2.0,0,Other Hardware,0
110393-29,Razorpay,2015.2246575342465,2022.7917808219179,7800.0,1.71,0.12,0,Financial Software,1
122349-07,Reach,2015.627397260274,2022.9178082191781,150.0,1.71,0.12,0,Other Energy Services,0
225696-70,Ready4K,2018.0712328767124,2022.0849315068492,10.65,6.15,2.65,0,Educational Software,0
493372-18,Rebill,2018.0849315068492,2022.1424657534246,6.67,3.0,0.02,0,Financial Software,0
93058-03,Recess (Media and Information Services),2016.145205479452,2022.854794520548,24.0,3.36,1.16,0,Media and Information Services (B2B),0
169803-55,Recurve,2017.1479452054793,2022.2054794520548,70.53,8.0,1.56,0,Business/Productivity Software,0
120299-41,Red Sift,2016.8164383561643,2022.0739726027398,142.04,4.86,2.19,0,Network Management Software,0
181763-65,Redaptive,2015.1123287671232,2023.3342465753424,1000.0,20.0,5.0,0,Other Energy Services,1
56486-35,RefleXion Medical,2014.213698630137,2022.1616438356164,750.0,18.79,11.6,0,Biotechnology,0
52902-91,Regent Education,2006.682191780822,2022.3780821917808,20.0,6.74,3.64,0,Financial Software,0
225808-75,Religion of Sports,2018.309589041096,2022.4082191780822,140.0,8.0,3.0,0,Movies Music and Entertainment,0
171054-01,RemoteRetail,2015.3287671232877,2023.2986301369863,37.5,4.8,1.8,0,Business/Productivity Software,0
229787-65,RenoFi,2018.386301369863,2022.2547945205479,76.0,5.0,0.75,0,Financial Software,0
226586-17,Replan (Business/Productivity Software),2015.9397260273972,2022.4931506849316,15.05,6.93,0.88,0,Business/Productivity Software,0
113831-02,Replit,2018.2109589041097,2023.3123287671233,1160.0,1.71,0.12,AI-powered Code Completion Generative AI,Software Development Applications,1
152413-84,ResoluteAI,2017.7123287671234,2022.7917808219179,11.55,12.56,4.56,0,Business/Productivity Software,0
233310-25,ResortPass,2018.2465753424658,2022.8575342465754,91.0,3.6,0.6,0,Other Restaurants Hotels and Leisure,0
56077-21,Reveleer,2013.0684931506848,2023.1397260273973,224.4,3.9,2.8,0,Enterprise Systems (Healthcare),0
277397-47,RevLifter,2018.1616438356164,2022.2164383561644,34.2,3.32,0.44,0,Business/Productivity Software,0
125506-45,Revolo Biotherapeutics,2014.958904109589,2022.4931506849316,158.64,15.04,0.94,0,Drug Discovery,0
181330-21,Rhino (Property and Casualty Insurance),2017.4849315068493,2022.0630136986301,668.07,6.34,1.94,Security Deposit Alternatives,Property and Casualty Insurance,0
161205-49,Rhyme (Healthcare Technology Systems),2016.4520547945206,2022.0931506849315,97.0,8.6,1.6,0,Other Healthcare Technology Systems,0
149803-57,Ribon Therapeutics,2017.772602739726,2022.972602739726,235.0,57.49,43.5,0,Drug Discovery,0
438581-98,Ripple (Beverages),2017.0876712328768,2022.6794520547944,41.16,6.93,0.93,0,Beverages,0
168588-01,RippleMatch,2017.358904109589,2022.33698630137,210.0,4.75,1.75,0,Human Capital Services,0
168829-39,Riptide,2016.8794520547945,2022.5780821917808,11.4,1.71,0.1,0,Communication Software,0
158792-77,Ritual (Healthcare),2016.5369863013698,2022.6246575342466,270.0,9.76,4.76,0,Pharmaceuticals,0
182789-74,Rivery,2017.0,2022.3917808219178,106.83,11.0,5.0,0,Database Software,0
267317-56,Rivet Health,2018.0,2022.468493150685,96.5,12.25,2.75,0,Other Healthcare Technology Systems,0
437004-46,Rizzle,2018.1753424657534,2023.1972602739727,80.5,9.0,1.0,0,Social/Platform Software,0
181114-30,Ro,2017.8301369863013,2022.0328767123287,6600.0,13.5,3.1,0,Clinics/Outpatient Services,1
64319-05,RoadRunner (Environmental Services (B2B)),2014.4630136986302,2022.8712328767124,1070.0,4.2,1.7,Smart Waste Management,Environmental Services (B2B),1
64707-58,Robin.,2015.4246575342465,2022.531506849315,330.0,9.3,4.35,0,Business/Productivity Software,0
114628-06,Roofstock,2015.3287671232877,2022.186301369863,1900.0,17.85,6.25,Real Estate Crowdfunding,Real Estate Services (B2C),1
231484-69,Rootine,2018.0849315068492,2022.6986301369864,40.0,0.33,0.02,0,Food Products,0
168965-20,Runa Network,2016.8328767123287,2022.8712328767124,92.85,2.4,0.43,0,Business/Productivity Software,0
226107-91,SafetyWing,2018.0,2022.2438356164384,192.0,1.71,0.12,Pandemic Travel,Life and Health Insurance,0
58998-25,Salsify,2013.695890410959,2022.6986301369864,2000.0,21.56,8.0,0,Business/Productivity Software,1
150445-54,Salt Security,2016.2219178082191,2022.109589041096,1400.0,1.71,0.12,0,Network Management Software,1
151199-83,Sapience Therapeutics,2016.5287671232877,2022.4109589041095,296.0,38.25,22.5,0,Drug Discovery,0
150729-04,Satelles,2008.5753424657535,2023.0986301369862,164.5,1.1,0.35,Resilient PNT,Network Management Software,0
58046-95,SciAps,2013.8986301369864,2023.3342465753424,81.0,30.0,6.9,0,Electronic Equipment and Instruments,0
86636-17,Scipher Medicine,2016.849315068493,2022.1479452054793,490.0,3.82,0.58,0,Decision/Risk Analysis,0
119685-70,Scoop (Business/Productivity Software),2015.164383561644,2022.876712328767,24.75,8.0,2.1,0,Business/Productivity Software,0
232964-29,Scoot (Business/Productivity Software),2018.2712328767122,2022.9561643835616,24.5,16.5,0.87,0,Business/Productivity Software,0
52967-80,Scopely,2012.717808219178,2023.2602739726028,4900.0,40.5,8.5,0,Entertainment Software,1
181338-31,Scopio Labs,2015.6,2022.5808219178082,167.44,5.49,1.4,0,Diagnostic Equipment,0
183708-37,Scotch Porter,2017.531506849315,2023.2794520547945,46.5,6.0,1.4,0,Personal Products,0
160955-20,ScriptDrop,2016.3808219178081,2022.1397260273973,100.0,2.0,0.15,0,Other Healthcare Technology Systems,0
229810-15,Scythe Robotics,2018.2931506849316,2022.9561643835616,102.0,2.75,0.75,0,Other Hardware,0
172671-76,Seclab,2015.1917808219177,2023.0082191780823,7.82,4.69,1.41,0,Network Management Software,0
277861-06,Seed-X,2018.0,2022.4356164383562,50.0,16.5,5.5,0,Electronic Equipment and Instruments,0
168010-03,SeekOut,2016.8246575342466,2022.0301369863014,1200.0,7.2,2.2,0,Human Capital Services,1
433872-82,Sensate,2016.8027397260273,2022.495890410959,18.04,2.09,0.22,0,Therapeutic Devices,0
57285-73,Sense (Electronics (B2C)),2013.4191780821918,2022.7013698630137,390.0,6.5,1.5,0,Electronics (B2C),0
155750-14,Sensydia,2016.2054794520548,2023.3506849315067,40.0,6.94,2.0,0,Monitoring Equipment,0
119461-87,Sentry ( Software Development Applications),2015.5534246575342,2022.33698630137,3190.0,6.53,1.5,0,Software Development Applications,1
113141-62,Senzo,2015.3671232876711,2022.945205479452,17.0,3.05,0.05,0,Diagnostic Equipment,0
170495-29,Sepio,2016.4219178082192,2022.813698630137,49.78,4.9,2.0,IoT Security,Network Management Software,0
156595-69,Servify,2016.0821917808219,2022.3013698630136,109.88,4.55,0.54,0,Business/Productivity Software,0
42710-14,SetPoint Medical,2007.3424657534247,2023.0465753424658,260.0,12.5,5.5,0,Therapeutic Devices,0
154284-94,Seurat,2016.8931506849315,2022.0493150684931,212.0,12.61,3.41,0,Printing Services (B2B),0
163365-49,SHARE Mobility,2016.5698630136985,2022.468493150685,35.0,1.0,0.08,0,Automotive,0
168327-10,Sharegain,2015.9698630136986,2022.123287671233,191.82,3.07,0.23,0,Financial Software,0
168339-61,ShearShare,2016.6328767123289,2022.3945205479451,12.3,1.71,0.12,0,Business/Productivity Software,0
470496-52,Sherpr,2017.7643835616439,2023.1479452054793,13.07,1.44,0.1,0,Other Services (B2C Non-Financial),0
179672-14,ShiftMed,2015.5397260273974,2022.0082191780823,856.62,11.81,1.81,0,Practice Management (Healthcare),0
343350-91,Shipshape Urban Farms,2017.8328767123287,2022.7260273972602,2.0,2.0,0.2,Indoor Farming,Cultivation,0
233897-14,Shopblocks,2012.7534246575342,2022.054794520548,6.85,0.16,0.03,0,Internet Software,0
117829-63,Shopic,2015.8328767123287,2022.4712328767123,131.66,2.52,0.81,0,Business/Productivity Software,0
56936-35,Shopventory,2013.3616438356164,2022.6575342465753,16.0,0.33,0.02,0,Business/Productivity Software,0
166675-96,Shyft,2016.345205479452,2022.704109589041,95.0,0.9,0.3,0,Logistics,0
151331-77,SiFive,2015.6712328767123,2022.0630136986301,2500.0,13.46,5.06,0,Application Specific Semiconductors,1
235812-16,SiLC,2018.2465753424658,2022.7835616438356,98.5,10.0,2.0,Lidar Silicon Photonics,Electronic Equipment and Instruments,0
186662-35,Silvur,2017.731506849315,2022.317808219178,16.0,6.25,1.25,0,Financial Software,0
100326-79,Sime Diagnostics,2014.2547945205479,2022.2,17.66,3.23,0.12,0,Diagnostic Equipment,0
303609-16,SimplyAgree,2017.6602739726027,2023.1808219178083,31.85,1.38,0.38,0,Business/Productivity Software,0
117692-92,Simpplr,2016.6465753424657,2023.2410958904109,550.0,20.34,6.0,0,Business/Productivity Software,0
93436-03,Singletrack (Financial Software),2011.9232876712329,2022.4849315068493,7.85,7.39,0.79,0,Financial Software,0
168125-68,SinnovaTek,2016.8520547945207,2022.9068493150685,36.6,0.3,0.1,0,Electrical Equipment,0
171243-19,Sitetracker,2017.5232876712328,2022.7068493150684,386.49,44.0,11.0,0,Business/Productivity Software,0
52662-25,Skillshare,2011.0684931506848,2022.841095890411,338.4,2.55,0.55,0,Educational Software,0
137794-24,Skin Inc,2017.1835616438357,2022.7589041095891,51.34,34.63,3.4,0,Personal Products,0
107147-08,Skydio,2015.0383561643835,2023.1753424657534,2250.0,10.0,3.0,0,Other Hardware,1
266267-44,Skyports,2018.2575342465752,2022.5835616438355,84.1,9.32,3.29,0,Other Commercial Services,0
102815-56,Slant,2015.3260273972603,2022.5835616438355,70.0,10.0,2.25,0,Information Services (B2C),0
186603-85,Slingshot (Biotechnology),2014.772602739726,2023.0986301369862,115.0,1.15,0.15,0,Biotechnology,0
181597-51,Slingshot Aerospace,2017.5397260273974,2022.9287671232876,189.75,0.33,0.12,0,Media and Information Services (B2B),0
93815-29,Smartcar,2014.9616438356165,2022.0328767123287,97.0,6.0,2.0,0,Automotive,0
89664-85,Smartology,2010.9753424657533,2022.7424657534248,11.27,1.13,0.41,0,Media and Information Services (B2B),0
170398-63,Smile Identity,2017.1041095890412,2023.123287671233,77.81,2.5,0.15,0,Business/Productivity Software,0
169627-60,SmithRx,2017.2438356164384,2022.0876712328768,97.16,9.0,3.0,0,Enterprise Systems (Healthcare),0
161796-97,Snappr,2016.4767123287672,2022.3561643835617,168.0,5.5,0.5,0,Other Services (B2C Non-Financial),0
266422-42,Sofar (Electronic Equipment and Instruments),2016.7835616438356,2022.6054794520549,149.35,2.25,0.45,Ocean Data Collection,Electronic Equipment and Instruments,0
184534-48,Sofy (Software Development Applications),2017.6,2022.5863013698631,22.75,2.5,0.15,0,Software Development Applications,0
168668-92,Solugen,2016.4164383561645,2022.5643835616438,2175.0,1.71,0.12,0,Multi-line Chemicals,1
180203-77,Somatus,2017.33698630137,2022.145205479452,2560.0,30.0,5.0,0,Clinics/Outpatient Services,1
169291-45,Somrus,2017.7972602739726,2023.2328767123288,152.0,16.6,3.6,0,Beverages,0
85438-63,Soundbites,2011.427397260274,2023.1616438356164,25.0,3.78,0.28,0,Therapeutic Devices,0
130624-12,SourceDay,2015.86301369863,2022.1068493150685,181.58,2.25,0.75,0,Business/Productivity Software,0
50889-61,Sovrn,2006.2,2022.5643835616438,275.58,4.48,2.2,0,Media and Information Services (B2B),0
322552-18,Sozie,2017.5205479452054,2022.0109589041097,5.0,1.28,0.19,0,Business/Productivity Software,0
438760-63,Space Technology Holdings,2017.0986301369862,2022.6465753424657,24.75,2.35,0.1,0,Other Financial Services,0
98209-63,SparkCognition,2013.5972602739726,2022.0657534246575,1350.0,2.53,0.38,0,Business/Productivity Software,1
104406-22,Sparkfund,2014.9150684931508,2023.1479452054793,112.0,19.9,6.9,0,Business/Productivity Software,0
145239-85,SparkMeter,2015.3260273972603,2022.1808219178083,40.0,5.16,1.16,0,Electronic Equipment and Instruments,0
170075-44,Sparta Science,2017.0767123287671,2022.7013698630137,38.0,7.7,3.39,0,Other Healthcare Technology Systems,0
58160-98,SpiderOak,2013.5643835616438,2023.0301369863014,63.5,7.5,2.0,0,Network Management Software,0
92404-45,Spin Technology,2017.6849315068494,2022.6027397260275,55.0,1.2,0.5,0,Network Management Software,0
118580-32,SpinLaunch,2015.172602739726,2022.6657534246576,171.12,13.9,3.9,Small Satellites,Aerospace and Defense,0
234370-90,Spinview,2018.2712328767122,2022.5260273972603,18.72,12.47,1.91,0,Multimedia and Design Software,0
266580-01,SportScientia,2018.0,2023.1698630136987,12.74,1.1,0.28,0,Other Healthcare Technology Systems,0
224067-43,Spotlight Therapeutics,2018.0027397260274,2022.0082191780823,186.5,15.77,7.27,CRISPR Diagnostics,Drug Discovery,0
300299-23,Spotter,2015.0383561643835,2022.1260273972603,1700.0,42.8,17.8,0,Specialized Finance,1
169687-36,Square Roots,2017.6931506849314,2022.2630136986302,190.49,18.14,5.64,0,Other Agriculture,0
151004-44,Staffbase,2015.8438356164384,2022.2,1000.0,1.5,0.5,0,Business/Productivity Software,1
157756-69,SteadyMD,2018.2109589041097,2022.5150684931507,240.0,6.0,2.5,0,Clinics/Outpatient Services,0
62866-99,Stellaris,2007.9287671232876,2023.1397260273973,24.91,12.34,6.0,0,Alternative Energy Equipment,0
